aesthetic,label,description,color_palette,image_url,keywords
sci_fi,Future Odyssey,Futuristic design inspired by science fiction and space exploration.,00CED1,https://t3.ftcdn.net/jpg/05/30/84/58/360_F_530845802_MxEWuas9rWlHKXxG9b4WxEGmVw0szlM0.jpg,Sci Fi futuristic space exploration
nautical,Nautical Charm,Seaside-inspired design with maritime elements.,4682B4,https://d3ui957tjb5bqd.cloudfront.net/uploads/images/4/49/49846.twitter.jpg?fmt=webp&1529942472,Nautical seaside maritime charm
mid_century_modern,Retro Revival,Iconic design inspired by mid-century modern aesthetics.,FF6347,https://designshack.net/wp-content/uploads/mid-century-font-4.jpg,Mid Century Modern retro iconic mid century
zen,Zen Tranquility,Serene and minimalist design inspired by Zen philosophy.,8FBC8F,"https://cdn.myfonts.net/cdn-cgi/image/width=460,height=auto,fit=contain,format=auto/images/pim//10000/23615_cf3fa6ec7b907178634045958adf27fa.png",Zen serene minimalist Zen philosophy
tropical,Tropical Vibes,Vibrant and exotic design inspired by tropical landscapes.,FFD700,https://www.dafontfree.io/wp-content/uploads/2022/08/Tropical-Taste-Font.jpg,Tropical vibrant exotic tropical
high_fashion,Haute Couture,Luxurious and glamorous design inspired by high fashion.,800080,https://img.freepik.com/premium-vector/fashion-font-typography-modern-typeface-wedding-fashion-vintage-luxury-elegant_126183-998.jpg,High Fashion luxurious glamorous couture
eclectic,Eclectic Fusion,Diverse and vibrant design with a mix of styles and influences.,FF69B4,https://xfonts.pro/xfonts_images/5d61558c24676b0465a498f2/bigelow-rules-font-4-big.png,Eclectic diverse vibrant mix
punk,Rebel Rhythm,Edgy and rebellious design inspired by punk subculture.,0,https://www.shutterstock.com/shutterstock/photos/2048152100/display_1500/stock-vector-punk-typography-vector-alphabet-and-numbers-type-specimen-set-for-grunge-font-flyers-and-posters-2048152100.jpg,Punk edgy rebellious punk
victorian,Victorian Elegance,Opulent and intricate design inspired by the Victorian era.,800000,https://t3.ftcdn.net/jpg/04/24/02/78/360_F_424027860_1CxiyNSAEZT95Fbs45kizxx9yWNtdmfV.jpg,Victorian opulent intricate Victorian era
shabby_chic,Shabby Chic Delight,Time-worn yet charming design with a touch of elegance.,FFB6C1,https://i.fbcd.co/products/original/1152b3e45be975ae2bdf03bd07e0dc17cdbf9cd945e5b648f0430a393e4957d9.jpg,Shabby Chic time worn charming elegant
renaissance,Renaissance Splendor,Rich and ornate design inspired by the Renaissance period.,4B0082,https://embrilliance.com/wp-content/uploads/RenGothic-AllGlyphs-webt.png,Renaissance rich ornate Renaissance period
retro_futurism,Retro Futuristic Dreams,Nostalgic design with a futuristic twist inspired by mid-20th century visions of the future.,32CD32,https://img.freepik.com/free-vector/future-alphabet-with-retrofuturism-font-elements-isolated-digits-letters_1284-49660.jpg,Retro Futurism nostalgic futuristic mid 20th century
afrofuturism,Afrofuturistic Visions,Futuristic design inspired by African and diasporic cultures.,8A2BE2,https://www.chipublib.org/wp-content/uploads/sites/3/2019/02/afrofuturism-300x230.jpg,Afrofuturism futuristic African diasporic
dark_academia,Academic Charm,Timeless and scholarly design with a touch of mystery and nostalgia.,2F4F4F,"https://ih1.redbubble.net/image.1521763939.5725/farp,small,wall_texture,product,750x1000.jpg",Dark Academia timeless scholarly mystery
light_academia,Academic Radiance,Elegant and intellectual design with a bright and airy feel.,F0E68C,https://images.creativemarket.com/0.1.0/ps/13046318/1820/1401/m1/fpnw/wm0/light-academy-prew-.jpg?1&s=cded7c534f9ff7f4463c101d9d5a430b,Light Academia elegant intellectual bright
pastel,Pastel Whimsy,Soft and whimsical design with a palette of pastel hues.,87CEEB,https://img.freepik.com/premium-vector/pastel-3d-style-editable-text-effect_570285-452.jpg?size=626&ext=jpg&ga=GA1.1.1826414947.1699228800&semt=ais,Pastel soft whimsical pastel
futuristic,Futuristic Odyssey,Streamlined and high-tech design inspired by visions of the future.,00FA9A,https://fontkong.com/wp-content/uploads/2022/12/Futurist-Futuristic-Font-Futurist-Display-Font-Futurist-Sans-Serif-Font.png,Futuristic streamlined high tech future
traditional,Timeless Tradition,Classic and timeless design inspired by cultural traditions.,D2B48C,https://www.theme-junkie.com/wp-content/uploads/best-tattoo-fonts-30.jpg,Traditional classic timeless cultural
futurism,Futurism Unleashed,Dynamic and forward-looking design inspired by the art movement.,4682B4,https://img.freepik.com/premium-vector/future-style-font-bold-letters-numbers-futuristic-design-type-modern-logo-minimalist-vector_159025-641.jpg?w=1060,Futurism dynamic forward looking  movement
southwest_native_american,Southwest Heritage,Southwest-inspired design with elements of Native American art.,FFD700,https://t4.ftcdn.net/jpg/04/06/89/99/360_F_406899975_7vUkUqH9zL1Ac1x27QepZaYgI3zeprPn.jpg,Southwest/Native American southwest Native American heritage
rococo,Rococo Opulence,Lavish and ornate design inspired by the Rococo period.,FF1493,https://frs.monotype.com/CatalogImages/23/2964933.png,Rococo lavish ornate Rococo period
gothic_lolita,Lolita Enchantment,Whimsical and doll-like design inspired by the Gothic Lolita fashion subculture.,800080,https://i.pinimg.com/736x/00/c2/8a/00c28a6419ddf977c93896a8bbbc8f4f.jpg,Gothic Lolita whimsical doll like dark cute young
90s_grunge,Grunge Revival,Edgy and rebellious design inspired by the grunge subculture of the 1990s.,696969,https://i.pinimg.com/originals/16/43/08/164308bc1b36eb0fa1727bfb1ab99f50.png,90s Grunge edgy rebellious 1990s
mediterranean,Mediterranean Charm,Warm and inviting design inspired by the coastal beauty of the Mediterranean.,4.17E+04,https://i.pinimg.com/originals/4a/58/6c/4a586c49cc3c05538e52066f82524fb4.png,Mediterranean warm inviting coastal
urban_jungle,Urban Jungle Oasis,Lush and vibrant design inspired by the juxtaposition of nature in the urban environment.,228B22,https://betterstudio.com/wp-content/uploads/2023/04/2-urban-jungle-font-preview-betterstudio.com_.png,Urban Jungle lush vibrant urban
desert_chic,Desert Chic Serenity,Subdued and elegant design inspired by the serenity of the desert landscape.,D2B48C,https://i.fbcd.co/products/resized/resized-750-500/arid-land-cvr-f18e3438eb2c5b4d4c1fc61e7252ef7bef29009a3808a54fb2db0d179c114d92.jpg,Desert Chic subdued elegant desert
art_punk,Punk Fusion Express,Raw and rebellious design with a fusion of punk and artistic elements.,0,"https://ih1.redbubble.net/image.1414456902.8135/fposter,small,wall_texture,product,750x1000.jpg", Punk raw rebellious artistic
nomadic,Nomadic Wanderlust,Eclectic and free-spirited design inspired by nomadic cultures.,8B4513,https://images.creativemarket.com/0.1.0/ps/49196558/3000/2000/m1/fpnw/wm0/00-.jpg?1&s=2dd235c9fdbe80c2b7d7aafd385ccad5,Nomadic eclectic free spirited nomadic
scandinavian,Nordic Simplicity,Clean and minimalist design inspired by Scandinavian aesthetics.,FFFFFF,https://i0.wp.com/befonts.com/wp-content/uploads/2021/06/nordic-font-99.jpg?fit=801%2C534&ssl=1,Scandinavian clean minimalist Scandinavian
sports_luxe,Sporty Elegance,Sleek and luxurious design inspired by the intersection of sportswear and luxury fashion.,808080,https://c8.alamy.com/comp/2A4XC33/sport-font-with-chrome-texture-trendy-letters-design-for-sport-automotive-car-moto-speed-race-and-other-dynamic-scene-vector-bold-cursive-font-2A4XC33.jpg,Sports Luxe sleek luxurious sportswear
art_brut,Raw Artistry,Unconventional and raw design inspired by the Art Brut movement.,696969,https://as1.ftcdn.net/v2/jpg/01/22/01/32/1000_F_122013229_Ob0frtx8VhZNVsiykbROSMIkFF3YWpbl.jpg, Brut unconventional raw istic
military,Military Precision,Crisp and disciplined design inspired by military aesthetics.,8080,https://assets-global.website-files.com/5de2db6d3719a1e2f3e4454c/622db6ae6ca1d260f1b374d1_Poligon.jpg,Military crisp disciplined military
1980s_miami_vice,Retro Miami Bliss,Colorful and vibrant design inspired by the iconic style of 1980s Miami Vice.,FF1493,https://i.pinimg.com/736x/bf/5e/8b/bf5e8bf4ed318b13cd9fdf35fd161db8.jpg,1980s Miami Vice colorful vibrant 1980s
koi_pond,Koi Elegance,Fluid and graceful designs inspired by the mesmerizing patterns and colors of koi fish.,2979FF,https://mir-s3-cdn-cf.behance.net/projects/404/85b245174360129.Y3JvcCw0MzE0LDMzNzUsODQzLDA.jpg,Koi Pond fluid graceful watercolor aquatic serene
quantum_fusion,Quantum Harmony,A fusion of science and art inspired by quantum physics concepts with dynamic and vibrant designs.,00FF00,https://unblast.com/wp-content/uploads/2019/11/Quantum-Font-1.jpg,Quantum Fusion quantum vibrant energetic fusion abstract
heretic,Heretic Shadows,Dark and rebellious designs with a heretical twist evoking a sense of mystery and defiance.,800000,https://www.grimdarkmagazine.com/wp-content/uploads/2022/05/HereticMain-1.jpg,Heretic heretic creepy horror
celestial_harmony,Celestial Symphony,Inspired by the cosmic beauty of the universe blending celestial elements and harmonious cosmic patterns.,FFD700,"https://cdn.myfonts.net/cdn-cgi/image/width=460,height=auto,fit=contain,format=auto/images/pim//10000/Mm7LPoS2x61btY8BghYKYvrP_bec7368afff6a37ff78296d90ee59bbe.png",Celestial Harmony celestial cosmic harmony stars nebula
deep_space,Deep Space Odyssey,Futuristic and cosmic designs inspired by the vastness of deep space and interstellar exploration.,330033,https://designshack.net/wp-content/uploads/Voyager-Modern-Space-Font-1-736x490.jpg,Deep Space futuristic cosmic exploration space
mystical_runes,Mystical Glyphs,Ancient and mystical symbols with a modern twist evoking a sense of magic and mystery.,663399,https://img.freepik.com/premium-vector/ancient-ruins-editable-text-effect_364733-237.jpg,Mystical Runes mystical runes ancient magic enigmatic
cybernetic_circuitry,Cybernetic Grid,Futuristic and tech-inspired designs with intricate circuit patterns creating a cybernetic aesthetic.,00CED1,https://i.pinimg.com/736x/03/47/33/03473321b26d3f068e8c8f451bbf1ef5.jpg,Cybernetic Circuitry cybernetic circuitry futuristic tech precision
enchanted_forest,Enchanted Woods,Evoking the enchantment of a mystical forest with organic and intertwining elements inspired by nature.,228B22,https://www.warwicksu.com/asset/Event/4133/ball-title.png,Enchanted Forest enchanted forest organic whimsical nature
lunar_whispers,Lunar Whispers,Moonlit and mysterious designs with elegant elements inspired by the phases of the moon and celestial whispers.,483D8B,https://dafont101.com/wp-content/uploads/2021/12/Moon-Crowd-Font-download.jpg,Lunar Whispers lunar whispers moonlit elegant celestial
lakeside,Lakeside Serenity,Tranquil and serene designs inspired by the calm beauty of a lakeside view.,87CEEB,https://www.dafont.com/img/illustration/b/i/big_lake.png,Lakeside tranquil serene lakeside calm beauty
steampunk_alchemy,Steampunk Alchemy,A blend of Victorian-era aesthetics and industrial elements reminiscent of steampunk with an alchemical touch.,996633,https://www.steampunkalchemy.com/sites/all/themes/steampunkalchemy/logo.png,Steampunk Alchemy steampunk alchemy victorian industrial gears
neon_noir,Neon Noir Nights,Inspired by the neon-lit streets of a cyberpunk city at night combining noir aesthetics with vibrant neon colors.,8A2BE2,https://img.freepik.com/premium-psd/glitchy-dark-neon-text-effect-style_402554-359.jpg?w=2000,Neon Noir neon noir cyberpunk vibrant night
whispering_roses,Whispering Roses,Delicate and romantic designs inspired by the beauty and symbolism of whispering roses.,FFB6C1,https://en.fontsloader.com/type_images/5d728b9ccc27bee72c66a055/9044d4737ef777cda756c.jpg,Whispering Roses whispering roses delicate romantic beauty symbolism
moonlit_serenade,Moonlit Serenade,A romantic ambiance set under the moonlight capturing the essence of a serenade on a starry night.,87CEFA,https://befonts.com/wp-content/uploads/2018/07/moonlight-script-font-4.jpg,Moonlit Serenade moonlit serenade romantic ambiance moonlight starry night
enchanted_forest,Enchanted Forest,A mystical and magical theme inspired by the wonders of an enchanted forest with whimsical elements.,228B22,https://cdn.eventfinda.co.nz/uploads/events/transformed/1883040-808814-35.png,Enchanted Forest enchanted forest mystical magical whimsical
galactic_odyssey,Galactic Odyssey,Embark on a cosmic journey with designs influenced by the vastness of space and interstellar adventures.,80,https://cms-assets.tutsplus.com/cdn-cgi/image/width=850/uploads/users/2092/posts/106936/image-upload/space_font_13.jpg,Galactic Odyssey galactic odyssey cosmic journey space interstellar
timeless_romance,Timeless Romance,Classic and timeless designs capturing the essence of romance through the ages with a touch of nostalgia.,FF69B4,https://img.freepik.com/fonts/public/12303/conversions/Romantic-preview.jpg,Timeless Romance timeless romance classic romance nostalgia
dreamscape_exploration,Dreamscape Exploration,Explore the depths of dreams with surreal and abstract designs inspired by the subconscious mind.,9932CC,https://cms-assets.tutsplus.com/cdn-cgi/image/width=850/uploads/users/1631/posts/93465/image-upload/WhimsicalFont04.jpg,Dreamscape Exploration dreamscape exploration surreal abstract subconscious
vintage_voyage,Vintage Voyage,Set sail on a retro adventure with designs reminiscent of vintage travel and exploration.,FFD700,https://img.freepik.com/free-vector/vintage-text-effect_314614-406.jpg," Vintage Voyage retro adventure exploration			"
dark_fantasy,Dark Fantasy Realm,Evoke the mystique of dark fantasy with intricate and ominous designs perfect for projects set in otherworldly realms.,8B4513,https://miblart.com/wp-content/uploads/2020/11/jioi.png," Dark Fantasy mystique intricate ominous		"
cursed_crypt,Cursed Crypt Chronicles,Mysterious and eerie designs inspired by ancient crypts and cursed secrets ideal for a haunting and supernatural ambiance.,4B0082,https://ct.mob0.com/Fonts/CharacterMap/Green-Fuz.png," Cursed Crypt mysterious eerie ancient crypt cursed secrets		"
shadowed_kingdoms,Shadowed Kingdoms,Lure into the shadows with regal and ominous designs fit for kingdoms draped in darkness and intrigue.,2F4F4F,https://img.freepik.com/premium-psd/kingdom-lord-war-text-effect_80983-1149.jpg?w=2000, Shadowed Kingdoms regal ominous kingdoms darkness intrigue
haunted_reliquary,Haunted Reliquary,Forged from the paranormal; these fonts encapsulate the essence of haunted reliquaries and ghostly artifacts.,483D8B,https://assets-prd.ignimgs.com/2023/06/30/hauntedcryptic-1688158196408.jpg," Haunted Reliquary paranormal ghostly ifacts			"
coven_craft,Coven Craft,Discover the mystic arts with fonts inspired by dark covens and ancient rituals adding an occult touch to your designs.,800000,https://www.shutterstock.com/image-vector/modern-hand-drawn-script-style-260nw-1398373529.jpg," Coven Craft mysticdark covens ancient rituals occult		"
dread_sorcery,Dread Sorcery Incantations,Unleash the power of dread sorcery with fonts that speak of incantations and dark spells perfect for a touch of dark magic.,9932CC,https://cms-assets.tutsplus.com/cdn-cgi/image/width=850/uploads/users/1631/posts/93183/image-upload/WitchFont04.jpg," Dread Sorcery incantations dark spells dark magic		"
nightshade_enchantment,Nightshade Enchantment,Ethereal and enchanting fonts inspired by the mysterious allure of nightshade adding a touch of poisonous elegance.,8A2BE2,https://media.fontsgeek.com/generated/e/n/enchantment-black-sample.png," Nightshade Enchantment ethereal enchanting nightshade mysterious poisonous elegance	"
sinister_rites,Sinister Rites Unveiled,Dive into forbidden knowledge with fonts that unveil the sinister rites and arcane secrets of dark realms.,696969,https://en.fontsloader.com/type_images/5f9ffe91e69b72eb21b03ecb/310462.jpg," Sinister Rites forbidden knowledge sinister rites arcane secrets dark realms		"
occult_mysteries,Occult Mysteries Revealed,Unlock the secrets of the occult with fonts inspired by ancient manuscripts and mystical knowledge.,4B0082,https://dcrtwqr38o8fl.cloudfront.net/wp-content/uploads/2016/09/T2263_00.jpg," Occult Mysteries ancient manus mystical knowledge			"
macabre_rituals,Macabre Rituals,A font collection inspired by macabre rituals and dark ceremonies perfect for a chilling and ominous atmosphere.,800000,"https://cdn.myfonts.net/cdn-cgi/image/width=417,height=208,fit=contain,format=auto/images/pim/10004/VAYOUeuc7md4qngsFZOpzbVD_be9ef6390ede02dce37700722c010d85.png"," Macabre Rituals macabre rituals dark ceremonies chilling ominous		"
ghoulish_grit,Ghoulish Grit Unleashed,Embrace the gritty and eerie with fonts inspired by ghouls and haunted landscapes perfect for a spine-chilling experience.,696969,https://i.pinimg.com/originals/e8/b1/a8/e8b1a8616b152b3ccef82ea8e80abb65.png," Ghoulish Grit gritty eerie ghouls haunted spine chilling	"
spectral_wail,Spectral Wail Designs,Capture the haunting wails of spirits with fonts that echo the ethereal and ghostly ideal for projects with a spectral touch.,483D8B,https://d144mzi0q5mijx.cloudfront.net/img/S/P/Spectre-007A.png," Spectral Wail haunting wails spirits ethereal ghostly		"
shadowy_specters,Shadowy Specters Fonts,Step into the shadows with fonts inspired by elusive specters adding an otherworldly and mysterious vibe to your designs.,2F4F4F,https://befonts.com/wp-content/uploads/2023/11/blacker-spirit-font-4.jpg," Shadowy Specters shadows elusive specters otherworldly mysterious		"
undying_souls,Undying Souls Typography,A collection of fonts that speak to the undying souls perfect for projects with a touch of the macabre and supernatural.,4B0082,https://i.pinimg.com/originals/08/93/4e/08934e351fe38eabb23ead265dfb9ca7.jpg," Undying Souls undying souls macabre supernatural			"
graveyard_chill,Graveyard Chill Fonts,Infuse a chilling atmosphere with fonts inspired by graveyard aesthetics invoking the eerie and mysterious ambiance of tombstones.,800000,https://img.fontspace.co/preview/d/44b754fc8f8c47248be974a9f7766860/font-poster-975605-960x640.png," Graveyard Chill chilling atmosphere graveyard aesthetics eerie mysterious tombstones	"
phantom_echoes,Phantom Echoes Typography,Explore the ethereal with fonts that capture the echoes of phantoms ideal for designs with a ghostly and haunting touch.,8A2BE2,https://www.dafont.com/img/illustration/p/h/phantom_lord_lite.png," Phantom Echoes ethereal echoes phantoms ghostly haunting		"
spooky_spectacle,Spooky Spectacle Fonts,Create a spooky spectacle with fonts that embody the spirit of Halloween and the ghoulish delights of the season.,9932CC,https://as1.ftcdn.net/v2/jpg/02/29/97/74/1000_F_229977469_jB6HFpV2vEDb2Fg5ktdSR6nzyvHDrlhR.jpg," Spooky Spectacle spooky spectacle Halloween ghoulish delights			"
haunted_type,Haunted Typefaces Collection,Discover a haunted collection of typefaces inspired by ghostly apparitions and haunted realms perfect for a supernatural touch.,800000,https://i.pinimg.com/originals/fd/30/90/fd30909f86458091cdc4a8e83a87bf37.png," Haunted Typefaces haunted collection typefaces ghostly apparitions haunted realms supernatural	"
macabre_mist,Macabre Mist Typography,Envelop your designs in a mist of the macabre with fonts that evoke a sense of mystery and ghastly allure.,696969,"https://cdn.myfonts.net/cdn-cgi/image/width=417,height=208,fit=contain,format=auto/images/pim/10000/113712_a799a6ed8896c1dbb447ac67d00c01b1.png"," Macabre Mist mist macabre mystery ghastly allure		"
sinister_scribbles,Sinister Scribbles Collection,Unleash sinister vibes with fonts that resemble eerie scribbles perfect for adding a touch of horror and unease to your projects.,2F4F4F,https://t4.ftcdn.net/jpg/01/93/03/19/360_F_193031993_D4lfLLcQXtw8j6kmB0C44GESMnQEx2J1.jpg," Sinister Scribbles sinister vibes eerie scribbles horror unease		"
sweet_delights,Sweet Delights Typography,Indulge in the sweetness with fonts inspired by delicious treats cakes and the joy of celebrations.,FFD700,https://cdn5.vectorstock.com/i/1000x1000/17/04/cake-cartoon-font-cute-sweet-letters-and-numbers-vector-37361704.jpg," Sweet Delights sweetness delicious treats cakes joy celebrations	"
candyland_cuties,Candyland Cuties Fonts,Enter the world of Candyland with fonts that bring out the cuteness of candies perfect for whimsical and playful designs.,FF69B4,https://img.freepik.com/free-vector/candy-sugar-text-effect-editable-modern-lettering-typography-font-style_314614-1682.jpg?w=2000," Candyland Cuties Candyland cuteness candies whimsical playful		"
balloon_bouquet,Balloon Bouquet Letters,Celebrate with fonts inspired by a vibrant bouquet of balloons adding a festive and cheerful touch to your projects.,87CEEB,https://handmadefont.com/wp-content/uploads/2016/11/Happy-Balloon-font-alphabet.png," Balloon Bouquet celebrate vibrant balloons festive cheerful		"
cupcake_fiesta,Cupcake Fiesta Typography,Whip up a fiesta of sweetness with fonts inspired by colorful cupcakes and the joy of dessert indulgence.,FFD700,https://img.freepik.com/premium-vector/cupcake-decorative-cartoon-typography_1043-1622.jpg," Cupcake Fiesta sweetness colorful cupcakes joy dessert indulgence		"
jungle_jamboree,Jungle Jamboree Fonts,Embark on a typographic adventure with fonts inspired by the lively spirit of the jungle perfect for vibrant and energetic designs.,228B22,https://i.fbcd.co/products/resized/resized-750-500/1-69fd2b06764af4a2292ade4c0a02ad85a00db0cb1021765a5d3094d948bfca16.jpg," Jungle Jamboree typographic adventure lively spirit jungle vibrant energetic		"
stellar_typography,Stellar Typography Collection,Explore the cosmos with fonts inspired by the beauty and mystery of the stars and galaxies adding a celestial touch to your designs.,483D8B,https://img.freepik.com/premium-vector/stellar-abstract-futuristic-alphabet-font-with-technology-theme-modern-minimalist-typography-design_199541-20.jpg," Stellar  cosmos beauty mystery stars galaxies celestial		"
cosmic_wonders,Cosmic Wonders Letters,Unveil the wonders of the universe with fonts that capture the cosmic beauty and awe-inspiring elements of outer space.,4.17E+04,https://images.creativemarket.com/0.1.0/ps/9412482/2400/1600/m1/fpnw/wm0/just_cosmic_1-.jpg?1&s=ade7e01b058eea0bf9e47fb75252b5d8," Cosmic Wonders wonders universecosmic beauty awe inspiring outer space	"
pixel_playground,Pixel Playground Fonts,Step into a playful world of pixels with fonts that bring out the charm of retro pixel art perfect for pixel-perfect designs.,FFD700,https://see.fontimg.com/api/renderfont4/z8XGD/eyJyIjoiZnMiLCJoIjoxNzEsInciOjI2MjUsImZzIjo2NSwiZmdjIjoiIzAwMDAwMCIsImJnYyI6IiNGRkZGRkYiLCJ0IjoxfQ/UGl4ZWJveQ/pixeboy.png," Pixel Playground playful pixels charm retro pixel pixel perfect		"
tech_titans,Tech Titans Typography,Channel the power of technology with fonts inspired by futuristic and bold designs perfect for tech-related projects.,00BFFF,https://static.vecteezy.com/system/resources/thumbnails/000/940/993/small/abstract-green-futuristic-sliced-alphabet.jpg," Tech Titans technology futuristic bold designs tech related		"
neon_nostalgia,Neon Nostalgia Collection,Take a trip down memory lane with fonts inspired by the neon signs of the past adding a nostalgic glow to your designs.,FFD700,https://images.creativemarket.com/0.1.0/ps/9337720/3000/2000/m1/fpnw/wm0/1-.jpg?1&s=916519f329bf66f3a32a758ac9d7228c," Neon Nostalgia trip down memory laneneon signs past nostalgic glow		"
future_fusion,Future Fusion Fonts,Experience the fusion of modernity and futurism with fonts that embody sleek and innovative design perfect for cutting-edge projects.,00FF00,https://img.freepik.com/free-vector/fusion-shock-text-effect-editable-future-cyber-text-style_314614-2231.jpg," Future Fusion fusion modernity futurismsleek innovative design cutting edge		"
dreamy_dimensions,Dreamy Dimensions Typography,Explore dreamy dimensions with fonts that evoke a sense of fantasy and imagination perfect for whimsical and magical designs.,9370DB,https://img.wattpad.com/cover/230482948-352-k599838.jpg," Dreamy Dimensions dreamy dimensionsfantasy imagination whimsical magical		"
origami_owls,Origami Owls Collection,Unfold the charm of origami with fonts inspired by adorable owls and the art of paper folding perfect for cute and delightful designs.,FFD700,https://www.dafont.com/img/illustration/o/r/origami.png," Origami Owls unfold charm origamiadorable owls paper folding cute delightful		"
dreamscape_mirage,Dreamscape Illusion,Dreamlike and surreal designs inspired by shifting landscapes of dreams with soft edges and ethereal textures.,FF69B4,https://img.freepik.com/premium-vector/editable-dreaming-font-typography-template-text-effect-style-lettering-vector-illustration-logo_463676-1997.jpg,Dreamscape Mirage dreamscape mirage surreal ethereal soft
